Flared pants with a matching blazer and pointy-toe flats, Purple Velvet Robe with Fur Trim , Madame, Short, in shape, Round Face, Dark Skin, Honey Blonde Hair, hazel Eyes, Straight Nose, Pouty Lips, Sharp Chin, Long Hair, Thick Hair, Sleek Straight Hair, full breasts, gloss metallic lipstick, (peek-a-boo):1.7, (bra outline):1.1
Tweed blazer with matching skirt, Yellow Mesh Bralette and High-Waisted Panty Set, Phenom, Short, Fit, Diamond-Shaped Face, Dark Skin, White Hair, green Eyes, Long Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Curly Hair, Braided Headband, augmented breasts, Threader earrings, pink matte lipstick, (peek-a-boo):1.5, (bra outline):0.9
Long-sleeved midi dress with a belt and structured blazer, Blue Strappy Bodysuit with Cutouts, Starlet, Short, Wide Hips, Round Face, Fair Skin, Brunette Hair, silver Eyes, Straight Nose, Pouty Lips, Prominent Chin, Shoulder-Length Hair, Straight Hair, Triple Braided Crown, firm breasts, Hoop earrings, soft pink matte lipstick, (peek-a-boo):1.2, (bra outline):0.9
Spaghetti strap dresses, Red Lace Bra and Panty Set with Garter Belt, Heiress, Tall, Lean, Round Face, Fair Skin, Silver Hair, black Eyes, Long Nose, Thin Lips, Round Chin, Shoulder-Length Hair, Coarse Hair, High Chignon, full breasts, Drop earrings, teal satin lipstick, (peek-a-boo):1.4, (bra outline):1.2
Sleeveless dresses, White Sheer Teddy with Lace Trim, Superwoman, Short, Lean, Diamond-Shaped Face, Tan Skin, Honey Blonde Hair, amber Eyes, Wide Nose, Pouty Lips, Prominent Chin, Long Hair, Coarse Hair, French Braid, asymmetrical breasts, Dangle earrings, violet cream lipstick, (peek-a-boo):1.1, (bra outline):0.9
Knee-length skirt suit in a neutral color, Maroon Satin and Lace Corset , Escort, Short, Lean, Triangular Face, Olive Skin, Auburn Hair, amethyst Eyes, Narrow Nose, Thin Lips, Receding Chin, Shoulder-Length Hair, Straight Hair, Straight Updo, soft breasts, Threader earrings, mauve sheer lipstick, (peek-a-boo):1.3, (bra outline):1.2
Printed pants with a tucked-in blouse and cropped blazer, Blue Sheer Babydoll with Satin Trim, Temptress, Tall, Thin, Heart-Shaped Face, Fair Skin, Golden Blonde Hair, aquamarine Eyes, Short Nose, Thick Lips, Receding Chin, Shoulder-Length Hair, Fine Hair, French Twist, augmented breasts, Hoop earrings, fuchsia gloss lipstick, (peek-a-boo):1.0, (bra outline):0.7
Rompers, Purple Velvet Robe with Fur Trim , Vixen, Average Height, Fit, Oval Face, Tan Skin, Auburn Hair, blue Eyes, Straight Nose, Thin Lips, Sharp Chin, Long Hair, Straight Hair, Beach Waves, saggy breasts, Dangle earrings, lavender gloss lipstick, (peek-a-boo):1.1, (bra outline):1.0
Shift dresses, Red Lace Bra and Panty Set with Garter Belt, Artist, Average Height, Skinny, Triangular Face, Fair Skin, Light Brown Hair, blue Eyes, Long Nose, Full Lips, Receding Chin, Shoulder-Length Hair, Coarse Hair, Lace Braid, perky breasts, Huggie earrings, light pink matte lipstick, (peek-a-boo):1.4, (bra outline):0.9
Short dresses, Black Cutout Bodysuit with Zipper, Seductress, Tall, Fit, Diamond-Shaped Face, Olive Skin, Honey Blonde Hair, grey-blue Eyes, Narrow Nose, Full Lips, Sharp Chin, Shoulder-Length Hair, Coarse Hair, Sleek Straight Hair, full breasts, Huggie earrings, violet satin lipstick, (peek-a-boo):1.2, (bra outline):1.0
Sleeveless dresses, Turquoise Sheer Chemise with Cutouts, Charmer, Short, Lean, Oval Face, Fair Skin, Black Hair, jade Eyes, Straight Nose, Pouty Lips, Receding Chin, Shoulder-Length Hair, Straight Hair, High Chignon, perky breasts, Clip-on earrings, grape gloss lipstick, (peek-a-boo):1.4, (bra outline):0.9
Wrap dresses, Orange Satin Slip, Madam, Tall, Wide Hips, Round Face, Dark Skin, Black Hair, silver Eyes, Long Nose, Full Lips, Sharp Chin, Shoulder-Length Hair, Thick Hair, Braided Headband, firm breasts, Stud earrings, teal stain lipstick, (peek-a-boo):1.6, (bra outline):0.8
High-waisted pants with a tucked-in blouse and statement necklace, Charcoal Sheer Bra and Panty Set, Belle, Tall, Athletic, Round Face, Tan Skin, Brunette Hair, ice blue Eyes, Long Nose, Thick Lips, Prominent Chin, Long Hair, Coarse Hair, Fauxhawk, natural breasts, Cuff earrings, golden sheer lipstick, (peek-a-boo):1.9, (bra outline):1.1
Halter dresses, Green Satin Robe with Lace Trim, Goddess, Average Height, in shape, Diamond-Shaped Face, Fair Skin, Red Hair, Hazel Eyes with Green Flecks, Long Nose, Thick Lips, Prominent Chin, Shoulder-Length Hair, Curly Hair, Sock Bun, firm breasts, Clip-on earrings, pink cream lipstick, (peek-a-boo):1.7, (bra outline):0.9
Wrap dresses, Gold Mesh Bra and Panty Set with Garter Belt, Enigma, Short, Toned, Round Face, Tan Skin, Golden Blonde Hair, black Eyes, Short Nose, Thick Lips, Receding Chin, Shoulder-Length Hair, Wavy Hair, Swept Bangs, natural breasts, Faux gauge earrings, plum stain lipstick, (peek-a-boo):1.9, (bra outline):1.0
Button-front midi skirt with a ribbed knit top and kitten heels, Black Leather Bralette and Panty Set, Diva, Short, Slim, Diamond-Shaped Face, Tan Skin, Red Hair, black Eyes, Narrow Nose, Full Lips, Round Chin, Long Hair, Thick Hair, French Roll, saggy breasts, Faux gauge earrings, teal cream lipstick, (peek-a-boo):1.3, (bra outline):1.1
Rompers, Mint Green Mesh Teddy , Chanteuse, Tall, Lean, Heart-Shaped Face, Tan Skin, Auburn Hair, ruby Eyes, Straight Nose, Thick Lips, Round Chin, Long Hair, Straight Hair, Loose Waves, soft breasts, Dangle earrings, brown gloss lipstick, (peek-a-boo):1.1, (bra outline):1.0
T-shirt dresses, Blue Sheer Babydoll with Satin Trim, Chanteuse, Average Height, Fit, Round Face, Fair Skin, Honey Blonde Hair, purple Eyes, Short Nose, Thick Lips, Receding Chin, Long Hair, Coarse Hair, Braided Crown, firm breasts, burgundy stain lipstick, (peek-a-boo):1.4, (bra outline):0.9
Maxi dresses, Blue Satin and Lace Cami and Short Set, Vixen, Short, Toned, Triangular Face, Dark Skin, Strawberry Blonde Hair, grey Eyes, [[Curved Nose]], Pouty Lips, Receding Chin, Long Hair, Coarse Hair, Blunt Bangs, round breasts, Dangle earrings, red metallic lipstick, (peek-a-boo):1.3, (bra outline):1.2
Crisp white button-up shirt with black dress pants, Yellow Mesh Bralette and High-Waisted Panty Set, Starlet, Short, Thin, Triangular Face, Tan Skin, Chestnut Hair, light blue Eyes, Short Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Coarse Hair, Tapered Afro, round breasts, rust sheer lipstick, (peek-a-boo):1.7, (bra outline):1.3
Sleeveless jumpsuit with a longline vest and platform sandals, Charcoal Sheer Bra and Panty Set, Mistress, Short, Lean, Square Face, Tan Skin, Light Brown Hair, jade Eyes, [[Curved Nose]], Full Lips, Sharp Chin, Shoulder-Length Hair, Fine Hair, Twisted Bun, full breasts, Clip-on earrings, gloss sheer lipstick, (peek-a-boo):1.0, (bra outline):1.2
Floral blouse with a fitted pencil skirt and ankle boots, Black Leather Bralette and Panty Set, Madam, Average Height, Fit, Square Face, Olive Skin, Strawberry Blonde Hair, Brown Eyes, Wide Nose, Pouty Lips, Sharp Chin, Shoulder-Length Hair, Coarse Hair, Sock Bun, asymmetrical breasts, Cuff earrings, grape matte lipstick, (peek-a-boo):1.2, (bra outline):0.7
Jumpsuits, Gold Mesh Bra and Panty Set with Garter Belt, Miss, Short, Firm, Triangular Face, Tan Skin, Strawberry Blonde Hair, teal Eyes, Narrow Nose, Full Lips, Sharp Chin, Long Hair, Thick Hair, Low Ponytail, large breasts, Faux gauge earrings, red stain lipstick, (peek-a-boo):1.5, (bra outline):1.2
Wrap dresses, Charcoal Sheer Bra and Panty Set, Maven, Short, Fit, Triangular Face, Olive Skin, Dark Brown Hair, jade Eyes, [[Curved Nose]], Thin Lips, Receding Chin, Long Hair, Curly Hair, Viking Braid, natural breasts, Clip-on earrings, pink matte lipstick, (peek-a-boo):1.9, (bra outline):1.2
Caftans, Purple Mesh Babydoll with Matching G-String, Babe, Average Height, Thin, Heart-Shaped Face, Olive Skin, Dark Brown Hair, purple Eyes, Long Nose, Thick Lips, Prominent Chin, Shoulder-Length Hair, Coarse Hair, Straight Updo, firm breasts, Stud earrings, coral satin lipstick, (peek-a-boo):1.6, (bra outline):1.1
Rompers, White Satin and Lace Bra and Panty Set, Diva, Average Height, Slim, Triangular Face, Dark Skin, Black Hair, Hazel Eyes with Green Flecks, Short Nose, Thin Lips, Receding Chin, Long Hair, Fine Hair, Beach Waves, large breasts, Stud earrings, coral satin lipstick, (peek-a-boo):1.8, (bra outline):1.3
Button-front midi skirt with a ribbed knit top and kitten heels, Purple Velvet Robe with Fur Trim , Enigma, Tall, Firm, Oval Face, Dark Skin, Dark Brown Hair, ruby Eyes, Narrow Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Straight Hair, Swept Bangs, round breasts, Stud earrings, violet velvet lipstick, (peek-a-boo):1.0, (bra outline):1.1
Sophisticated jumpsuit with a jacket, Fuchsia Mesh Halter Bra and Panty Set, Trailblazer, Average Height, Skinny, Square Face, Olive Skin, Silver Hair, ice blue Eyes, Long Nose, Full Lips, Receding Chin, Shoulder-Length Hair, Coarse Hair, Bob with Bangs, round breasts, Drop earrings, light pink cream lipstick, (peek-a-boo):1.5, (bra outline):0.7
Pencil skirt with a tucked-in blouse and blazer, Purple Velvet Robe with Fur Trim , Femme fatale, Average Height, Thin, Triangular Face, Tan Skin, Honey Blonde Hair, dark brown Eyes, Long Nose, Thick Lips, Round Chin, Long Hair, Thick Hair, Long Straight Hair, saggy breasts, Huggie earrings, grape velvet lipstick, (peek-a-boo):1.3, (bra outline):1.0
Halter dresses, Teal Velvet Chemise with Ruffles , Queen, Tall, Fit, Diamond-Shaped Face, Fair Skin, Platinum Blonde Hair, purple Eyes, Straight Nose, Thin Lips, Round Chin, Long Hair, Coarse Hair, Fauxhawk, soft breasts, Drop earrings, rust velvet lipstick, (peek-a-boo):1.2, (bra outline):0.9
Off-the-shoulder dresses, Green Satin and Lace Garter Belt with Matching Thong, Woman, Tall, Thin, Round Face, Tan Skin, Golden Blonde Hair, ruby Eyes, [[Curved Nose]], Thick Lips, Sharp Chin, Shoulder-Length Hair, Coarse Hair, Boho Braid, large breasts, Huggie earrings, berry cream lipstick, (peek-a-boo):1.9, (bra outline):1.2
Shift dresses, Cream Sequin Bra and Pant Set, Female Warrior, Short, Lean, Oval Face, Tan Skin, Dark Brown Hair, turquoise Eyes, Long Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Straight Hair, Side French Braid, firm breasts, peach stain lipstick, (peek-a-boo):1.6, (bra outline):0.9
Sophisticated jumpsuit with a jacket, Turquoise Sheer Chemise with Cutouts, Countess, Tall, Toned, Oval Face, Tan Skin, Dark Brown Hair, Green Eyes, Narrow Nose, Thick Lips, Prominent Chin, Shoulder-Length Hair, Thick Hair, Layered Bob, firm breasts, Clip-on earrings, lavender velvet lipstick, (peek-a-boo):1.9, (bra outline):0.8
High-waisted pants with a tucked-in blouse and statement necklace, Purple Velvet Bra and Panty Set with Lace Trim, Mistress, Short, Skinny, Diamond-Shaped Face, Tan Skin, Red Hair, Gray Eyes, Narrow Nose, Thick Lips, Prominent Chin, Long Hair, Fine Hair, Messy Top Knot, small breasts, Stud earrings, rose stain lipstick, (peek-a-boo):1.5, (bra outline):1.2
High-waisted pants with a tucked-in blouse and statement necklace, Silver Sequin Bralette, Escort, Average Height, Firm, Diamond-Shaped Face, Tan Skin, Golden Blonde Hair, Brown Eyes, [[Curved Nose]], Pouty Lips, Receding Chin, Shoulder-Length Hair, Straight Hair, Wavy Updo, natural breasts, Faux gauge earrings, cherry sheer lipstick, (peek-a-boo):1.4, (bra outline):0.8
Pencil skirt with a tucked-in blouse and blazer, Grey Faux Leather Corset , Siren, Average Height, in shape, Heart-Shaped Face, Dark Skin, Light Brown Hair, Brown Eyes with Green Flecks, Short Nose, Thick Lips, Prominent Chin, Shoulder-Length Hair, Straight Hair, Wavy Bob, augmented breasts, red metallic lipstick, (peek-a-boo):1.5, (bra outline):0.7
Maxi dresses, Red Satin Babydoll, Duchess, Average Height, Lean, Oval Face, Olive Skin, Silver Hair, teal Eyes, [[Curved Nose]], Full Lips, Prominent Chin, Shoulder-Length Hair, Straight Hair, Ballerina Bun, small breasts, Stud earrings, soft pink gloss lipstick, (peek-a-boo):1.2, (bra outline):1.0
Fit-and-flare dresses, Black Sheer Teddy with Floral Applique, Enigma, Tall, Toned, Heart-Shaped Face, Olive Skin, Honey Blonde Hair, Brown Eyes, [[Curved Nose]], Thin Lips, Sharp Chin, Long Hair, Wavy Hair, Layered Bob, large breasts, Drop earrings, coral gloss lipstick, (peek-a-boo):1.4, (bra outline):1.3
Jumpsuits, Red Lace Bra and Panty Set with Garter Belt, Trailblazer, Average Height, Wide Hips, Round Face, Olive Skin, Gray Hair, silver Eyes, Narrow Nose, Pouty Lips, Sharp Chin, Long Hair, Fine Hair, Low Updo, soft breasts, Stud earrings, peach velvet lipstick, (peek-a-boo):1.9, (bra outline):0.8
Caftans, Pink Lace Chemise with Ruffle Details, Trailblazer, Tall, Wide Hips, Triangular Face, Tan Skin, Light Brown Hair, red Eyes, Straight Nose, Thick Lips, Prominent Chin, Long Hair, Thick Hair, Dutch Braid, saggy breasts, hot pink gloss lipstick, (peek-a-boo):1.9, (bra outline):1.0
Midi dresses, Maroon Satin and Lace Corset , Goddess, Short, Slim, Diamond-Shaped Face, Fair Skin, Chestnut Hair, grey-blue Eyes, Straight Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Curly Hair, Shaggy Cut, full breasts, Cuff earrings, magenta cream lipstick, (peek-a-boo):1.6, (bra outline):0.9
Off-the-shoulder dresses, Black Sheer Teddy with Floral Applique, Maven, Average Height, Toned, Triangular Face, Fair Skin, Gray Hair, dark brown Eyes, Wide Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Straight Hair, Half Up Half Down, large breasts, Threader earrings, gloss gloss lipstick, (peek-a-boo):1.7, (bra outline):1.1
Long-sleeve dresses, Cream Sequin Bra and Pant Set, Visionary, Average Height, Thin, Triangular Face, Fair Skin, Red Hair, yellow Eyes, Long Nose, Thin Lips, Receding Chin, Long Hair, Wavy Hair, Messy Top Knot, soft breasts, Clip-on earrings, hot pink gloss lipstick, (peek-a-boo):1.7, (bra outline):1.2
Spaghetti strap dresses, Yellow Mesh Bralette and High-Waisted Panty Set, Enchantress, Average Height, Wide Hips, Diamond-Shaped Face, Olive Skin, Brunette Hair, silver Eyes, [[Curved Nose]], Full Lips, Sharp Chin, Shoulder-Length Hair, Coarse Hair, High Messy Bun, natural breasts, Stud earrings, golden velvet lipstick, (peek-a-boo):1.3, (bra outline):1.0
Caftans, Green Sequin Slip Dress with Thigh-High Slits, Empress, Tall, Thin, Round Face, Fair Skin, Light Brown Hair, amber Eyes, Narrow Nose, Pouty Lips, Prominent Chin, Long Hair, Wavy Hair, Updo, large breasts, Dangle earrings, red metallic lipstick, (peek-a-boo):2.0, (bra outline):1.2
Jumpsuits, Purple Velvet Slip with Lace Trim, Starlet, Tall, Fit, Diamond-Shaped Face, Fair Skin, Dark Brown Hair, Sapphire Eyes, Short Nose, Full Lips, Round Chin, Shoulder-Length Hair, Wavy Hair, Side Bangs, full breasts, cherry cream lipstick, (peek-a-boo):1.2, (bra outline):0.8
Wrap dresses, Gold Strappy Bodysuit, Trailblazer, Short, Toned, Heart-Shaped Face, Olive Skin, Honey Blonde Hair, green Eyes, Narrow Nose, Thin Lips, Round Chin, Shoulder-Length Hair, Curly Hair, Low Updo, saggy breasts, Faux gauge earrings, red cream lipstick, (peek-a-boo):1.7, (bra outline):1.3
Linen blazer with ankle-length trousers and block heels, Purple Velvet Slip with Lace Trim, Woman, Average Height, Narrow Hips, Round Face, Fair Skin, Auburn Hair, Blue Eyes with Green Flecks, Straight Nose, Pouty Lips, Round Chin, Long Hair, Fine Hair, Fishtail Crown Braid, soft breasts, Huggie earrings, magenta matte lipstick, (peek-a-boo):1.3, (bra outline):1.0
Tailored dress with cardigan, Tan Faux Leather Slip Dress, Songstress, Short, Fit, Square Face, Olive Skin, White Hair, grey Eyes, Wide Nose, Full Lips, Prominent Chin, Shoulder-Length Hair, Straight Hair, Fluffy Afro, augmented breasts, Hoop earrings, berry velvet lipstick, (peek-a-boo):1.5, (bra outline):0.9
High-waisted pants with a tucked-in blouse and statement necklace, Silver Sequin Bralette, Madam, Tall, Slim, Oval Face, Olive Skin, Honey Blonde Hair, turquoise Eyes, Long Nose, Full Lips, Prominent Chin, Shoulder-Length Hair, Coarse Hair, Low Messy Bun, firm breasts, Huggie earrings, red gloss lipstick, (peek-a-boo):1.1, (bra outline):0.7
Maxi dresses, Black Sheer Teddy with Floral Applique, Dame, Tall, Thin, Triangular Face, Olive Skin, Chestnut Hair, grey Eyes, [[Curved Nose]], Full Lips, Receding Chin, Long Hair, Fine Hair, Fishbone Braid, perky breasts, Hoop earrings, rust sheer lipstick, (peek-a-boo):1.7, (bra outline):0.8
High-waisted pants with a tucked-in blouse and statement necklace, Brown Strappy Bodysuit, Madam, Short, Thin, Square Face, Olive Skin, Dark Brown Hair, Brown Eyes, [[Curved Nose]], Pouty Lips, Round Chin, Long Hair, Curly Hair, Braided Updo, natural breasts, Cuff earrings, rust gloss lipstick, (peek-a-boo):1.5, (bra outline):1.2
Wide-legged dress pants with a colorful blouse, Yellow Mesh Bralette and High-Waisted Panty Set, Luminary, Short, Skinny, Square Face, Fair Skin, Light Brown Hair, dark brown Eyes, Long Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Wavy Hair, Sock Bun, augmented breasts, Cuff earrings, light pink gloss lipstick, (peek-a-boo):1.1, (bra outline):0.8
Floral blouse with a fitted pencil skirt and ankle boots, Yellow Lace Halter Bralette and Thong Set, Madam, Average Height, Skinny, Round Face, Dark Skin, Strawberry Blonde Hair, green Eyes, Straight Nose, Pouty Lips, Sharp Chin, Shoulder-Length Hair, Thick Hair, Dutch Braid, asymmetrical breasts, fuchsia matte lipstick, (peek-a-boo):1.8, (bra outline):1.2
Maxi dresses, Red Satin Babydoll, Luminary, Average Height, Firm, Square Face, Fair Skin, Golden Blonde Hair, Sapphire Eyes, Wide Nose, Thin Lips, Sharp Chin, Long Hair, Fine Hair, Fishtail Crown Braid, perky breasts, Stud earrings, lavender metallic lipstick, (peek-a-boo):1.8, (bra outline):1.3
Cropped ankle pants with a tailored jacket and blouse, Crimson Velvet Cami and Short Set , Trailblazer, Short, Slim, Diamond-Shaped Face, Olive Skin, Platinum Blonde Hair, purple Eyes, Short Nose, Thick Lips, Receding Chin, Shoulder-Length Hair, Coarse Hair, Sock Bun, natural breasts, Faux gauge earrings, plum sheer lipstick, (peek-a-boo):1.3, (bra outline):0.8
Rompers, Crimson Velvet Cami and Short Set , Chanteuse, Tall, Athletic, Heart-Shaped Face, Tan Skin, Light Brown Hair, blue Eyes, Wide Nose, Thick Lips, Receding Chin, Long Hair, Coarse Hair, Bun, firm breasts, Clip-on earrings, soft pink satin lipstick, (peek-a-boo):1.4, (bra outline):1.0
Wide-legged dress pants with a colorful blouse, Teal Velvet Chemise with Ruffles , Siren, Tall, Slim, Triangular Face, Fair Skin, Golden Blonde Hair, teal Eyes, [[Curved Nose]], Full Lips, Round Chin, Shoulder-Length Hair, Wavy Hair, Loose Waves, large breasts, Stud earrings, violet sheer lipstick, (peek-a-boo):1.8, (bra outline):0.7
Long-sleeve dresses, Navy Blue Satin Garter Belt with Suspenders , Lady, Short, Thin, Heart-Shaped Face, Fair Skin, Blonde Hair, light blue Eyes, Long Nose, Pouty Lips, Receding Chin, Long Hair, Straight Hair, Messy Bun, firm breasts, Huggie earrings, terracotta stain lipstick, (peek-a-boo):1.1, (bra outline):1.2
Pencil skirt with a tucked-in blouse and blazer, Black Sheer Teddy with Floral Applique, Superwoman, Tall, Fit, Square Face, Tan Skin, White Hair, ice blue Eyes, Narrow Nose, Pouty Lips, Prominent Chin, Long Hair, Fine Hair, Braided Headband, augmented breasts, Clip-on earrings, light pink cream lipstick, (peek-a-boo):1.7, (bra outline):0.8
Short dresses, Silver Sequin Bralette, Temptress, Average Height, Toned, Square Face, Fair Skin, Blonde Hair, Brown Eyes, Straight Nose, Pouty Lips, Round Chin, Shoulder-Length Hair, Curly Hair, Bouncy Curls, large breasts, Dangle earrings, grape gloss lipstick, (peek-a-boo):1.5, (bra outline):1.1
Off-the-shoulder dresses, Maroon Satin and Lace Corset , Escort, Short, Skinny, Triangular Face, Olive Skin, Platinum Blonde Hair, teal Eyes, Long Nose, Thin Lips, Prominent Chin, Long Hair, Wavy Hair, Stacked Bob, asymmetrical breasts, Faux gauge earrings, rust sheer lipstick, (peek-a-boo):2.0, (bra outline):0.9
Tailored dress with cardigan, Olive Green Mesh Garter Belt with Stockings, Artist, Tall, Skinny, Diamond-Shaped Face, Fair Skin, Strawberry Blonde Hair, light blue Eyes, Long Nose, Thick Lips, Receding Chin, Shoulder-Length Hair, Thick Hair, Wedding Updo, small breasts, Drop earrings, black cream lipstick, (peek-a-boo):1.5, (bra outline):1.2
Off-the-shoulder dresses, Red Satin Kimono with Lace Sleeve Detail, Baroness, Tall, Skinny, Square Face, Fair Skin, Platinum Blonde Hair, Gray Eyes, Straight Nose, Thin Lips, Prominent Chin, Long Hair, Curly Hair, Wavy Bob, perky breasts, Threader earrings, cream metallic lipstick, (peek-a-boo):1.0, (bra outline):0.8
Button-front midi skirt with a ribbed knit top and kitten heels, Pink Lace Garter Slip with Matching Thong, Superwoman, Short, Narrow Hips, Heart-Shaped Face, Fair Skin, Strawberry Blonde Hair, Hazel Eyes with Green Flecks, Wide Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Coarse Hair, Smooth Waves, saggy breasts, Hoop earrings, mauve matte lipstick, (peek-a-boo):2.0, (bra outline):0.8
Sun dresses, Mint Green Mesh Teddy , Diva, Tall, Lean, Square Face, Olive Skin, Blonde Hair, amethyst Eyes, [[Curved Nose]], Pouty Lips, Round Chin, Shoulder-Length Hair, Curly Hair, Fishtail Crown Braid, saggy breasts, Clip-on earrings, light pink gloss lipstick, (peek-a-boo):1.8, (bra outline):0.8
Short dresses, Silver Sequin Bralette, Luminary, Short, Thin, Diamond-Shaped Face, Tan Skin, White Hair, Amber Eyes, Narrow Nose, Pouty Lips, Prominent Chin, Long Hair, Fine Hair, Shoulder-Length Curls, asymmetrical breasts, Dangle earrings, magenta satin lipstick, (peek-a-boo):1.3, (bra outline):1.0
Jumpsuits, Gold Mesh Bra and Panty Set with Garter Belt, Dame, Average Height, Fit, Heart-Shaped Face, Olive Skin, Red Hair, Hazel Eyes, Straight Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Thick Hair, Messy Beach Waves, perky breasts, Threader earrings, black stain lipstick, (peek-a-boo):1.8, (bra outline):0.8
Floral blouse with a fitted pencil skirt and ankle boots, Yellow Lace Garter Belt , Enchantress, Tall, Fit, Square Face, Olive Skin, Honey Blonde Hair, light blue Eyes, [[Curved Nose]], Thin Lips, Sharp Chin, Long Hair, Wavy Hair, Straight Bob with Layers, firm breasts, Hoop earrings, black velvet lipstick, (peek-a-boo):2.0, (bra outline):1.0
Sundresses, Mint Green Mesh Teddy , Countess, Short, Slim, Oval Face, Tan Skin, Dark Brown Hair, black Eyes, Short Nose, Full Lips, Sharp Chin, Long Hair, Coarse Hair, Long Curled Updo, asymmetrical breasts, Hoop earrings, cream metallic lipstick, (peek-a-boo):1.3, (bra outline):1.2
Classic black blazer with matching pants, Pink Floral Corset, Femme fatale, Tall, in shape, Square Face, Olive Skin, Chestnut Hair, Green Eyes, Narrow Nose, Full Lips, Sharp Chin, Shoulder-Length Hair, Wavy Hair, Bob with Bangs, firm breasts, Stud earrings, pink metallic lipstick, (peek-a-boo):1.8, (bra outline):0.7
Classic black blazer with matching pants, Purple Velvet Slip with Lace Trim, Phenom, Tall, Thin, Heart-Shaped Face, Fair Skin, Brunette Hair, grey-blue Eyes, Wide Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Fine Hair, Formal Braided Updo, round breasts, Huggie earrings, berry matte lipstick, (peek-a-boo):1.9, (bra outline):0.7
Shift dresses, Brown Strappy Bodysuit, Phenom, Average Height, Fit, Triangular Face, Dark Skin, Black Hair, amethyst Eyes, Wide Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Curly Hair, Braided Crown, small breasts, Drop earrings, green cream lipstick, (peek-a-boo):1.5, (bra outline):0.8
Strapless dresses, Purple Velvet Slip with Lace Trim, Vixen, Average Height, Skinny, Oval Face, Olive Skin, Black Hair, grey Eyes, Narrow Nose, Thin Lips, Sharp Chin, Long Hair, Coarse Hair, Long Wavy Hair, asymmetrical breasts, Clip-on earrings, cream metallic lipstick, (peek-a-boo):1.6, (bra outline):0.9
Flared pants with a matching blazer and pointy-toe flats, Silver Silk Bra and Panty Set with Garter Belt, Diva, Average Height, Wide Hips, Diamond-Shaped Face, Tan Skin, Brunette Hair, ice blue Eyes, Long Nose, Pouty Lips, Round Chin, Shoulder-Length Hair, Wavy Hair, Low Chignon, asymmetrical breasts, Dangle earrings, teal gloss lipstick, (peek-a-boo):1.2, (bra outline):1.2
Knee-length skirt suit in a neutral color, Purple Velvet Robe with Fur Trim , Temptress, Short, Athletic, Triangular Face, Dark Skin, Brunette Hair, aquamarine Eyes, Wide Nose, Full Lips, Receding Chin, Long Hair, Coarse Hair, Messy Top Knot, full breasts, Drop earrings, pink matte lipstick, (peek-a-boo):1.9, (bra outline):1.2
T-shirt dresses, Cream Sequin Bra and Pant Set, Maven, Short, Wide Hips, Oval Face, Olive Skin, Strawberry Blonde Hair, blue Eyes, Wide Nose, Thick Lips, Sharp Chin, Long Hair, Curly Hair, Sleek Straight Hair, augmented breasts, Faux gauge earrings, brown stain lipstick, (peek-a-boo):1.2, (bra outline):1.0
Flared pants with a matching blazer and pointy-toe flats, Ivory Lace Teddy, Charmer, Tall, Slim, Heart-Shaped Face, Dark Skin, Gray Hair, amber Eyes, [[Curved Nose]], Thin Lips, Prominent Chin, Shoulder-Length Hair, Straight Hair, Tousled Waves, round breasts, Threader earrings, black satin lipstick, (peek-a-boo):1.8, (bra outline):0.8
Crisp white button-up shirt with black dress pants, Maroon Satin and Lace Corset , Artist, Average Height, Slim, Diamond-Shaped Face, Fair Skin, Light Brown Hair, pink Eyes, Long Nose, Pouty Lips, Sharp Chin, Shoulder-Length Hair, Fine Hair, Fringed Bangs, firm breasts, terracotta velvet lipstick, (peek-a-boo):1.8, (bra outline):1.1
Pencil skirt with a tucked-in blouse and blazer, Purple Velvet Bra and Panty Set with Lace Trim, Countess, Tall, Athletic, Diamond-Shaped Face, Olive Skin, Gray Hair, gold Eyes, Straight Nose, Pouty Lips, Receding Chin, Shoulder-Length Hair, Straight Hair, Sleek Straight Hair, firm breasts, Cuff earrings, plum sheer lipstick, (peek-a-boo):1.3, (bra outline):1.3
Sheath dress with a collarless blazer and statement earrings, Orange Satin Slip, Empress, Average Height, Wide Hips, Triangular Face, Tan Skin, Golden Blonde Hair, Blue Eyes, Straight Nose, Pouty Lips, Round Chin, Shoulder-Length Hair, Wavy Hair, Sleek Waves, large breasts, Threader earrings, fuchsia stain lipstick, (peek-a-boo):1.6, (bra outline):1.0
Long-sleeved midi dress with a belt and structured blazer, Lavender Lace Bra and Panty Set , Miss, Tall, in shape, Diamond-Shaped Face, Fair Skin, Auburn Hair, amethyst Eyes, Wide Nose, Thick Lips, Sharp Chin, Long Hair, Fine Hair, Wavy Layered Bob, asymmetrical breasts, Drop earrings, orange gloss lipstick, (peek-a-boo):1.8, (bra outline):1.0
