Purple Velvet Robe with Fur Trim , Madame, Short, in shape, Round Face, Dark Skin, Honey Blonde Hair, hazel Eyes, Straight Nose, Pouty Lips, Sharp Chin, Long Hair, Thick Hair, Sleek Straight Hair, full breasts, gloss metallic lipstick, Submerged in Quicksand
Purple Velvet Robe with Fur Trim , Femme fatale, Average Height, Thin, Triangular Face, Tan Skin, Honey Blonde Hair, dark brown Eyes, Long Nose, Thick Lips, Round Chin, Long Hair, Thick Hair, Long Straight Hair, saggy breasts, Huggie earrings, grape velvet lipstick, Plunged in Melted chocolate
Teal Velvet Chemise with Ruffles , Queen, Tall, Fit, Diamond-Shaped Face, Fair Skin, Platinum Blonde Hair, purple Eyes, Straight Nose, Thin Lips, Round Chin, Long Hair, Coarse Hair, Fauxhawk, soft breasts, Drop earrings, rust velvet lipstick, Engulfed in Baby oil
Green Satin and Lace Garter Belt with Matching Thong, Woman, Tall, Thin, Round Face, Tan Skin, Golden Blonde Hair, ruby Eyes, [[Curved Nose]], Thick Lips, Sharp Chin, Shoulder-Length Hair, Coarse Hair, Boho Braid, large breasts, Huggie earrings, berry cream lipstick, Smothered in Quicksand
Cream Sequin Bra and Pant Set, Female Warrior, Short, Lean, Oval Face, Tan Skin, Dark Brown Hair, turquoise Eyes, Long Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Straight Hair, Side French Braid, firm breasts, peach stain lipstick, Soaking in Mud
Turquoise Sheer Chemise with Cutouts, Countess, Tall, Toned, Oval Face, Tan Skin, Dark Brown Hair, Green Eyes, Narrow Nose, Thick Lips, Prominent Chin, Shoulder-Length Hair, Thick Hair, Layered Bob, firm breasts, Clip-on earrings, lavender velvet lipstick, Smothered in Foam
Purple Velvet Bra and Panty Set with Lace Trim, Mistress, Short, Skinny, Diamond-Shaped Face, Tan Skin, Red Hair, Gray Eyes, Narrow Nose, Thick Lips, Prominent Chin, Long Hair, Fine Hair, Messy Top Knot, small breasts, Stud earrings, rose stain lipstick, Smothered in Liquid soap
Silver Sequin Bralette, Escort, Average Height, Firm, Diamond-Shaped Face, Tan Skin, Golden Blonde Hair, Brown Eyes, [[Curved Nose]], Pouty Lips, Receding Chin, Shoulder-Length Hair, Straight Hair, Wavy Updo, natural breasts, Faux gauge earrings, cherry sheer lipstick, Surrounded by Baby oil
Grey Faux Leather Corset , Siren, Average Height, in shape, Heart-Shaped Face, Dark Skin, Light Brown Hair, Brown Eyes with Green Flecks, Short Nose, Thick Lips, Prominent Chin, Shoulder-Length Hair, Straight Hair, Wavy Bob, augmented breasts, red metallic lipstick, Smothered in Bubble solution
Red Satin Babydoll, Duchess, Average Height, Lean, Oval Face, Olive Skin, Silver Hair, teal Eyes, [[Curved Nose]], Full Lips, Prominent Chin, Shoulder-Length Hair, Straight Hair, Ballerina Bun, small breasts, Stud earrings, soft pink gloss lipstick, Coated in Gelatin
Black Sheer Teddy with Floral Applique, Enigma, Tall, Toned, Heart-Shaped Face, Olive Skin, Honey Blonde Hair, Brown Eyes, [[Curved Nose]], Thin Lips, Sharp Chin, Long Hair, Wavy Hair, Layered Bob, large breasts, Drop earrings, coral gloss lipstick, Saturated in Glycerin
Red Lace Bra and Panty Set with Garter Belt, Trailblazer, Average Height, Wide Hips, Round Face, Olive Skin, Gray Hair, silver Eyes, Narrow Nose, Pouty Lips, Sharp Chin, Long Hair, Fine Hair, Low Updo, soft breasts, Stud earrings, peach velvet lipstick, Plunged in Non-toxic slime
Pink Lace Chemise with Ruffle Details, Trailblazer, Tall, Wide Hips, Triangular Face, Tan Skin, Light Brown Hair, red Eyes, Straight Nose, Thick Lips, Prominent Chin, Long Hair, Thick Hair, Dutch Braid, saggy breasts, hot pink gloss lipstick, Smothered in Liquid soap
Maroon Satin and Lace Corset , Goddess, Short, Slim, Diamond-Shaped Face, Fair Skin, Chestnut Hair, grey-blue Eyes, Straight Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Curly Hair, Shaggy Cut, full breasts, Cuff earrings, magenta cream lipstick, Coated in Baby oil
Black Sheer Teddy with Floral Applique, Maven, Average Height, Toned, Triangular Face, Fair Skin, Gray Hair, dark brown Eyes, Wide Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Straight Hair, Half Up Half Down, large breasts, Threader earrings, gloss gloss lipstick, Coated in Baby oil
Cream Sequin Bra and Pant Set, Visionary, Average Height, Thin, Triangular Face, Fair Skin, Red Hair, yellow Eyes, Long Nose, Thin Lips, Receding Chin, Long Hair, Wavy Hair, Messy Top Knot, soft breasts, Clip-on earrings, hot pink gloss lipstick, Soaking in Cooking oil
Yellow Mesh Bralette and High-Waisted Panty Set, Enchantress, Average Height, Wide Hips, Diamond-Shaped Face, Olive Skin, Brunette Hair, silver Eyes, [[Curved Nose]], Full Lips, Sharp Chin, Shoulder-Length Hair, Coarse Hair, High Messy Bun, natural breasts, Stud earrings, golden velvet lipstick, Surrounded by Mud
Green Sequin Slip Dress with Thigh-High Slits, Empress, Tall, Thin, Round Face, Fair Skin, Light Brown Hair, amber Eyes, Narrow Nose, Pouty Lips, Prominent Chin, Long Hair, Wavy Hair, Updo, large breasts, Dangle earrings, red metallic lipstick, Submerged in Foam
Purple Velvet Slip with Lace Trim, Starlet, Tall, Fit, Diamond-Shaped Face, Fair Skin, Dark Brown Hair, Sapphire Eyes, Short Nose, Full Lips, Round Chin, Shoulder-Length Hair, Wavy Hair, Side Bangs, full breasts, cherry cream lipstick, Immersed in Non-toxic slime
Gold Strappy Bodysuit, Trailblazer, Short, Toned, Heart-Shaped Face, Olive Skin, Honey Blonde Hair, green Eyes, Narrow Nose, Thin Lips, Round Chin, Shoulder-Length Hair, Curly Hair, Low Updo, saggy breasts, Faux gauge earrings, red cream lipstick, Coated in Glycerin
Purple Velvet Slip with Lace Trim, Woman, Average Height, Narrow Hips, Round Face, Fair Skin, Auburn Hair, Blue Eyes with Green Flecks, Straight Nose, Pouty Lips, Round Chin, Long Hair, Fine Hair, Fishtail Crown Braid, soft breasts, Huggie earrings, magenta matte lipstick, Submerged in Glycerin
Tan Faux Leather Slip Dress, Songstress, Short, Fit, Square Face, Olive Skin, White Hair, grey Eyes, Wide Nose, Full Lips, Prominent Chin, Shoulder-Length Hair, Straight Hair, Fluffy Afro, augmented breasts, Hoop earrings, berry velvet lipstick, Submerged in Ball pit filled with water beads
Silver Sequin Bralette, Madam, Tall, Slim, Oval Face, Olive Skin, Honey Blonde Hair, turquoise Eyes, Long Nose, Full Lips, Prominent Chin, Shoulder-Length Hair, Coarse Hair, Low Messy Bun, firm breasts, Huggie earrings, red gloss lipstick, Engulfed in Gelatin
Black Sheer Teddy with Floral Applique, Dame, Tall, Thin, Triangular Face, Olive Skin, Chestnut Hair, grey Eyes, [[Curved Nose]], Full Lips, Receding Chin, Long Hair, Fine Hair, Fishbone Braid, perky breasts, Hoop earrings, rust sheer lipstick, Saturated in Quicksand
Brown Strappy Bodysuit, Madam, Short, Thin, Square Face, Olive Skin, Dark Brown Hair, Brown Eyes, [[Curved Nose]], Pouty Lips, Round Chin, Long Hair, Curly Hair, Braided Updo, natural breasts, Cuff earrings, rust gloss lipstick, Saturated in Baby oil
Yellow Mesh Bralette and High-Waisted Panty Set, Luminary, Short, Skinny, Square Face, Fair Skin, Light Brown Hair, dark brown Eyes, Long Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Wavy Hair, Sock Bun, augmented breasts, Cuff earrings, light pink gloss lipstick, Marinating in Ball pit filled with water beads
Yellow Lace Halter Bralette and Thong Set, Madam, Average Height, Skinny, Round Face, Dark Skin, Strawberry Blonde Hair, green Eyes, Straight Nose, Pouty Lips, Sharp Chin, Shoulder-Length Hair, Thick Hair, Dutch Braid, asymmetrical breasts, fuchsia matte lipstick, Drenched in Saltwater
Red Satin Babydoll, Luminary, Average Height, Firm, Square Face, Fair Skin, Golden Blonde Hair, Sapphire Eyes, Wide Nose, Thin Lips, Sharp Chin, Long Hair, Fine Hair, Fishtail Crown Braid, perky breasts, Stud earrings, lavender metallic lipstick, Engulfed in Ball pit filled with water beads
Crimson Velvet Cami and Short Set , Trailblazer, Short, Slim, Diamond-Shaped Face, Olive Skin, Platinum Blonde Hair, purple Eyes, Short Nose, Thick Lips, Receding Chin, Shoulder-Length Hair, Coarse Hair, Sock Bun, natural breasts, Faux gauge earrings, plum sheer lipstick, Soaking in Glycerin
Crimson Velvet Cami and Short Set , Chanteuse, Tall, Athletic, Heart-Shaped Face, Tan Skin, Light Brown Hair, blue Eyes, Wide Nose, Thick Lips, Receding Chin, Long Hair, Coarse Hair, Bun, firm breasts, Clip-on earrings, soft pink satin lipstick, Steeped in Glycerin
Teal Velvet Chemise with Ruffles , Siren, Tall, Slim, Triangular Face, Fair Skin, Golden Blonde Hair, teal Eyes, [[Curved Nose]], Full Lips, Round Chin, Shoulder-Length Hair, Wavy Hair, Loose Waves, large breasts, Stud earrings, violet sheer lipstick, Plunged in Baby oil
Navy Blue Satin Garter Belt with Suspenders , Lady, Short, Thin, Heart-Shaped Face, Fair Skin, Blonde Hair, light blue Eyes, Long Nose, Pouty Lips, Receding Chin, Long Hair, Straight Hair, Messy Bun, firm breasts, Huggie earrings, terracotta stain lipstick, Submerged in Syrup
Black Sheer Teddy with Floral Applique, Superwoman, Tall, Fit, Square Face, Tan Skin, White Hair, ice blue Eyes, Narrow Nose, Pouty Lips, Prominent Chin, Long Hair, Fine Hair, Braided Headband, augmented breasts, Clip-on earrings, light pink cream lipstick, Marinating in Baby oil
Silver Sequin Bralette, Temptress, Average Height, Toned, Square Face, Fair Skin, Blonde Hair, Brown Eyes, Straight Nose, Pouty Lips, Round Chin, Shoulder-Length Hair, Curly Hair, Bouncy Curls, large breasts, Dangle earrings, grape gloss lipstick, Surrounded by Liquid soap
Maroon Satin and Lace Corset , Escort, Short, Skinny, Triangular Face, Olive Skin, Platinum Blonde Hair, teal Eyes, Long Nose, Thin Lips, Prominent Chin, Long Hair, Wavy Hair, Stacked Bob, asymmetrical breasts, Faux gauge earrings, rust sheer lipstick, Plunged in Milk
Olive Green Mesh Garter Belt with Stockings, Artist, Tall, Skinny, Diamond-Shaped Face, Fair Skin, Strawberry Blonde Hair, light blue Eyes, Long Nose, Thick Lips, Receding Chin, Shoulder-Length Hair, Thick Hair, Wedding Updo, small breasts, Drop earrings, black cream lipstick, Smothered in Gelatin
Red Satin Kimono with Lace Sleeve Detail, Baroness, Tall, Skinny, Square Face, Fair Skin, Platinum Blonde Hair, Gray Eyes, Straight Nose, Thin Lips, Prominent Chin, Long Hair, Curly Hair, Wavy Bob, perky breasts, Threader earrings, cream metallic lipstick, Submerged in Gelatin
Pink Lace Garter Slip with Matching Thong, Superwoman, Short, Narrow Hips, Heart-Shaped Face, Fair Skin, Strawberry Blonde Hair, Hazel Eyes with Green Flecks, Wide Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Coarse Hair, Smooth Waves, saggy breasts, Hoop earrings, mauve matte lipstick, Smothered in Water
Mint Green Mesh Teddy , Diva, Tall, Lean, Square Face, Olive Skin, Blonde Hair, amethyst Eyes, [[Curved Nose]], Pouty Lips, Round Chin, Shoulder-Length Hair, Curly Hair, Fishtail Crown Braid, saggy breasts, Clip-on earrings, light pink gloss lipstick, Drenched in Liquid soap
Silver Sequin Bralette, Luminary, Short, Thin, Diamond-Shaped Face, Tan Skin, White Hair, Amber Eyes, Narrow Nose, Pouty Lips, Prominent Chin, Long Hair, Fine Hair, Shoulder-Length Curls, asymmetrical breasts, Dangle earrings, magenta satin lipstick, Plunged in Quicksand
Gold Mesh Bra and Panty Set with Garter Belt, Dame, Average Height, Fit, Heart-Shaped Face, Olive Skin, Red Hair, Hazel Eyes, Straight Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Thick Hair, Messy Beach Waves, perky breasts, Threader earrings, black stain lipstick, Immersed in Soda
Yellow Lace Garter Belt , Enchantress, Tall, Fit, Square Face, Olive Skin, Honey Blonde Hair, light blue Eyes, [[Curved Nose]], Thin Lips, Sharp Chin, Long Hair, Wavy Hair, Straight Bob with Layers, firm breasts, Hoop earrings, black velvet lipstick, Smothered in Melted chocolate
Mint Green Mesh Teddy , Countess, Short, Slim, Oval Face, Tan Skin, Dark Brown Hair, black Eyes, Short Nose, Full Lips, Sharp Chin, Long Hair, Coarse Hair, Long Curled Updo, asymmetrical breasts, Hoop earrings, cream metallic lipstick, Plunged in Soda
Pink Floral Corset, Femme fatale, Tall, in shape, Square Face, Olive Skin, Chestnut Hair, Green Eyes, Narrow Nose, Full Lips, Sharp Chin, Shoulder-Length Hair, Wavy Hair, Bob with Bangs, firm breasts, Stud earrings, pink metallic lipstick, Floating in Glycerin
Purple Velvet Slip with Lace Trim, Phenom, Tall, Thin, Heart-Shaped Face, Fair Skin, Brunette Hair, grey-blue Eyes, Wide Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Fine Hair, Formal Braided Updo, round breasts, Huggie earrings, berry matte lipstick, Saturated in Quicksand
Brown Strappy Bodysuit, Phenom, Average Height, Fit, Triangular Face, Dark Skin, Black Hair, amethyst Eyes, Wide Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Curly Hair, Braided Crown, small breasts, Drop earrings, green cream lipstick, Immersed in Non-toxic slime
Purple Velvet Slip with Lace Trim, Vixen, Average Height, Skinny, Oval Face, Olive Skin, Black Hair, grey Eyes, Narrow Nose, Thin Lips, Sharp Chin, Long Hair, Coarse Hair, Long Wavy Hair, asymmetrical breasts, Clip-on earrings, cream metallic lipstick, Smothered in Foam
Silver Silk Bra and Panty Set with Garter Belt, Diva, Average Height, Wide Hips, Diamond-Shaped Face, Tan Skin, Brunette Hair, ice blue Eyes, Long Nose, Pouty Lips, Round Chin, Shoulder-Length Hair, Wavy Hair, Low Chignon, asymmetrical breasts, Dangle earrings, teal gloss lipstick, Engulfed in Mud
Purple Velvet Robe with Fur Trim , Temptress, Short, Athletic, Triangular Face, Dark Skin, Brunette Hair, aquamarine Eyes, Wide Nose, Full Lips, Receding Chin, Long Hair, Coarse Hair, Messy Top Knot, full breasts, Drop earrings, pink matte lipstick, Coated in Gelatin
Cream Sequin Bra and Pant Set, Maven, Short, Wide Hips, Oval Face, Olive Skin, Strawberry Blonde Hair, blue Eyes, Wide Nose, Thick Lips, Sharp Chin, Long Hair, Curly Hair, Sleek Straight Hair, augmented breasts, Faux gauge earrings, brown stain lipstick, Coated in Gelatin
Ivory Lace Teddy, Charmer, Tall, Slim, Heart-Shaped Face, Dark Skin, Gray Hair, amber Eyes, [[Curved Nose]], Thin Lips, Prominent Chin, Shoulder-Length Hair, Straight Hair, Tousled Waves, round breasts, Threader earrings, black satin lipstick, Surrounded by Glycerin
Maroon Satin and Lace Corset , Artist, Average Height, Slim, Diamond-Shaped Face, Fair Skin, Light Brown Hair, pink Eyes, Long Nose, Pouty Lips, Sharp Chin, Shoulder-Length Hair, Fine Hair, Fringed Bangs, firm breasts, terracotta velvet lipstick, Surrounded by Baby oil
Purple Velvet Bra and Panty Set with Lace Trim, Countess, Tall, Athletic, Diamond-Shaped Face, Olive Skin, Gray Hair, gold Eyes, Straight Nose, Pouty Lips, Receding Chin, Shoulder-Length Hair, Straight Hair, Sleek Straight Hair, firm breasts, Cuff earrings, plum sheer lipstick, Engulfed in Liquid soap
Orange Satin Slip, Empress, Average Height, Wide Hips, Triangular Face, Tan Skin, Golden Blonde Hair, Blue Eyes, Straight Nose, Pouty Lips, Round Chin, Shoulder-Length Hair, Wavy Hair, Sleek Waves, large breasts, Threader earrings, fuchsia stain lipstick, Submerged in Water
Lavender Lace Bra and Panty Set , Miss, Tall, in shape, Diamond-Shaped Face, Fair Skin, Auburn Hair, amethyst Eyes, Wide Nose, Thick Lips, Sharp Chin, Long Hair, Fine Hair, Wavy Layered Bob, asymmetrical breasts, Drop earrings, orange gloss lipstick, Soaking in Mud
Black Leather Bralette and Panty Set, Dame, Tall, Athletic, Oval Face, Fair Skin, Silver Hair, jade Eyes, [[Curved Nose]], Pouty Lips, Sharp Chin, Long Hair, Straight Hair, French Braid, augmented breasts, lavender cream lipstick, Plunged in Water
White Lace Bralette and Boyshorts Set, Starlet, Tall, Athletic, Oval Face, Tan Skin, Blonde Hair, pink Eyes, [[Curved Nose]], Full Lips, Prominent Chin, Shoulder-Length Hair, Coarse Hair, Side-Swept Bangs, perky breasts, Faux gauge earrings, soft pink cream lipstick, Immersed in Water
Purple Velvet Robe with Fur Trim , Starlet, Short, Skinny, Square Face, Dark Skin, Honey Blonde Hair, brown Eyes, Short Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Straight Hair, Curly Afro, saggy breasts, Clip-on earrings, mauve metallic lipstick, Floating in Syrup
Yellow Lace Halter Bralette and Thong Set, Maven, Tall, Narrow Hips, Heart-Shaped Face, Tan Skin, Silver Hair, amber Eyes, Short Nose, Pouty Lips, Prominent Chin, Shoulder-Length Hair, Straight Hair, Fancy Updo, saggy breasts, Drop earrings, golden sheer lipstick, Soaking in Soda
Turquoise Sheer Chemise with Cutouts, Dame, Average Height, Skinny, Square Face, Olive Skin, Dark Brown Hair, amethyst Eyes, Narrow Nose, Thin Lips, Prominent Chin, Long Hair, Wavy Hair, Short Afro, asymmetrical breasts, Threader earrings, light pink sheer lipstick, Drenched in Soda
Pink Floral Corset, Charmer, Short, Firm, Square Face, Tan Skin, Chestnut Hair, Brown Eyes, Short Nose, Pouty Lips, Sharp Chin, Long Hair, Coarse Hair, Sleek Bun, saggy breasts, Threader earrings, golden metallic lipstick, Drenched in Mud
Red Satin Kimono with Lace Sleeve Detail, Female Warrior, Average Height, Slim, Oval Face, Dark Skin, Platinum Blonde Hair, pink Eyes, Short Nose, Thin Lips, Prominent Chin, Long Hair, Coarse Hair, High Messy Bun, round breasts, rust cream lipstick, Marinating in Soda
Gold Strappy Bodysuit, Gal, Short, Athletic, Round Face, Tan Skin, Red Hair, brown Eyes, Wide Nose, Thin Lips, Receding Chin, Long Hair, Straight Hair, Braided Half Up, augmented breasts, green matte lipstick, Submerged in Mud
Silver Silk Bra and Panty Set with Garter Belt, Queen, Average Height, Fit, Diamond-Shaped Face, Tan Skin, Brunette Hair, gold Eyes, Wide Nose, Full Lips, Prominent Chin, Long Hair, Thick Hair, French Braid, full breasts, Huggie earrings, black matte lipstick, Surrounded by Bubble solution
Pink Floral Corset, Empress, Tall, Athletic, Diamond-Shaped Face, Olive Skin, Silver Hair, light blue Eyes, Straight Nose, Pouty Lips, Round Chin, Shoulder-Length Hair, Wavy Hair, Smooth Waves, augmented breasts, brown cream lipstick, Drenched in Water
Tan Faux Leather Slip Dress, Vixen, Tall, Athletic, Oval Face, Dark Skin, Chestnut Hair, ruby Eyes, [[Curved Nose]], Full Lips, Round Chin, Long Hair, Coarse Hair, Boho Braid, round breasts, Clip-on earrings, lavender cream lipstick, Engulfed in Ball pit filled with water beads
Red Satin Babydoll, Madame, Average Height, Slim, Oval Face, Tan Skin, Honey Blonde Hair, Hazel Eyes with Green Flecks, Long Nose, Thick Lips, Sharp Chin, Shoulder-Length Hair, Straight Hair, Braided Crown, small breasts, Stud earrings, golden matte lipstick, Surrounded by Foam
Green Satin and Lace Garter Belt with Matching Thong, Female Warrior, Tall, in shape, Round Face, Dark Skin, Light Brown Hair, Blue Eyes with Green Flecks, Short Nose, Full Lips, Prominent Chin, Shoulder-Length Hair, Straight Hair, Wedding Updo, augmented breasts, rose satin lipstick, Soaking in Gelatin
Grey Faux Leather Corset , Countess, Short, Thin, Heart-Shaped Face, Dark Skin, Brunette Hair, dark brown Eyes, Short Nose, Thick Lips, Prominent Chin, Long Hair, Coarse Hair, Afro, asymmetrical breasts, Cuff earrings, terracotta satin lipstick, Submerged in Mud
Yellow Lace Halter Bralette and Thong Set, Lady, Short, in shape, Oval Face, Tan Skin, Golden Blonde Hair, teal Eyes, [[Curved Nose]], Pouty Lips, Prominent Chin, Long Hair, Curly Hair, Fringed Bangs, large breasts, Hoop earrings, rust cream lipstick, Plunged in Ball pit filled with water beads
Pink Floral Corset, Escort, Tall, Fit, Diamond-Shaped Face, Fair Skin, Strawberry Blonde Hair, Blue Eyes with Green Flecks, Narrow Nose, Full Lips, Prominent Chin, Shoulder-Length Hair, Thick Hair, High Bun, full breasts, Cuff earrings, rust cream lipstick, Drenched in Cooking oil
Gold Mesh Bra and Panty Set with Garter Belt, Escort, Short, in shape, Round Face, Olive Skin, Blonde Hair, blue Eyes, [[Curved Nose]], Full Lips, Prominent Chin, Shoulder-Length Hair, Curly Hair, Four-Strand Braid, augmented breasts, Cuff earrings, magenta satin lipstick, Engulfed in Water
Blue Sheer Babydoll with Satin Trim, Mistress, Short, Wide Hips, Heart-Shaped Face, Dark Skin, Golden Blonde Hair, brown Eyes, Wide Nose, Full Lips, Round Chin, Long Hair, Straight Hair, Side-Swept Bangs, soft breasts, Huggie earrings, brown metallic lipstick, Saturated in Syrup
Crimson Velvet Cami and Short Set , Siren, Average Height, in shape, Heart-Shaped Face, Dark Skin, Golden Blonde Hair, Brown Eyes, Short Nose, Pouty Lips, Round Chin, Shoulder-Length Hair, Straight Hair, Curled Bob, natural breasts, Huggie earrings, magenta metallic lipstick, Coated in Foam
Green Satin and Lace Garter Belt with Matching Thong, Baroness, Short, Wide Hips, Round Face, Olive Skin, Brunette Hair, gold Eyes, Straight Nose, Full Lips, Receding Chin, Shoulder-Length Hair, Fine Hair, High Ponytail, natural breasts, Threader earrings, cherry matte lipstick, Engulfed in Quicksand
Ivory Lace Teddy, Starlet, Tall, Toned, Heart-Shaped Face, Fair Skin, Gray Hair, Hazel Eyes, [[Curved Nose]], Full Lips, Receding Chin, Shoulder-Length Hair, Thick Hair, French Twist, augmented breasts, Hoop earrings, pink cream lipstick, Plunged in Non-toxic slime
Silver Silk Bra and Panty Set with Garter Belt, Goddess, Average Height, Firm, Triangular Face, Tan Skin, Golden Blonde Hair, pink Eyes, Narrow Nose, Thick Lips, Round Chin, Long Hair, Curly Hair, Messy Beach Waves, asymmetrical breasts, Clip-on earrings, teal satin lipstick, Coated in Bubble solution
Mint Green Mesh Teddy , Lady, Tall, Wide Hips, Triangular Face, Dark Skin, Black Hair, ice blue Eyes, Straight Nose, Pouty Lips, Prominent Chin, Shoulder-Length Hair, Coarse Hair, Four-Strand Braid, firm breasts, Huggie earrings, beige cream lipstick, Floating in Milk
Purple Velvet Slip with Lace Trim, Visionary, Tall, Fit, Square Face, Olive Skin, Golden Blonde Hair, silver Eyes, Straight Nose, Pouty Lips, Receding Chin, Shoulder-Length Hair, Straight Hair, French Twist, firm breasts, Cuff earrings, light pink metallic lipstick, Engulfed in Gelatin
Yellow Lace Garter Belt , Heiress, Tall, Lean, Square Face, Olive Skin, Platinum Blonde Hair, gold Eyes, Wide Nose, Thick Lips, Sharp Chin, Long Hair, Curly Hair, Dutch Braid, round breasts, Hoop earrings, hot pink cream lipstick, Engulfed in Milk
Red Lace Bra and Panty Set with Garter Belt, Woman, Short, Skinny, Round Face, Dark Skin, Light Brown Hair, coral Eyes, Long Nose, Thin Lips, Sharp Chin, Long Hair, Wavy Hair, Wavy Bob, saggy breasts, Drop earrings, burgundy satin lipstick, Coated in Saltwater
Olive Green Mesh Garter Belt with Stockings, Female Warrior, Short, Narrow Hips, Square Face, Tan Skin, Gray Hair, Gray Eyes, Short Nose, Full Lips, Prominent Chin, Long Hair, Straight Hair, French Twist, small breasts, Faux gauge earrings, fuchsia stain lipstick, Drenched in Non-toxic slime
Blue Strappy Bodysuit with Cutouts, Duchess, Tall, Fit, Diamond-Shaped Face, Fair Skin, Platinum Blonde Hair, peach Eyes, [[Curved Nose]], Full Lips, Sharp Chin, Long Hair, Fine Hair, Triple Braided Crown, large breasts, Drop earrings, rust matte lipstick, Surrounded by Cooking oil
White Sheer Teddy with Lace Trim, Female Viking, Tall, Lean, Heart-Shaped Face, Fair Skin, Black Hair, Hazel Eyes, Long Nose, Thick Lips, Round Chin, Long Hair, Thick Hair, Waterfall Braid, small breasts, Threader earrings, orange metallic lipstick, Engulfed in Syrup
White Sheer Teddy with Lace Trim, Countess, Short, Slim, Triangular Face, Olive Skin, Blonde Hair, amber Eyes, Wide Nose, Thin Lips, Receding Chin, Long Hair, Coarse Hair, Chignon, perky breasts, Threader earrings, rose metallic lipstick, Plunged in Baby oil
Purple Velvet Slip with Lace Trim, Queen, Average Height, Toned, Heart-Shaped Face, Tan Skin, Light Brown Hair, Brown Eyes, Straight Nose, Full Lips, Sharp Chin, Long Hair, Wavy Hair, Bangs with Highlights, asymmetrical breasts, Dangle earrings, rust cream lipstick, Steeped in Glycerin
Blue Satin and Lace Cami and Short Set, Superwoman, Short, Toned, Diamond-Shaped Face, Tan Skin, Gray Hair, Amber Eyes, Wide Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Fine Hair, Donut Bun, natural breasts, hot pink gloss lipstick, Drenched in Bubble solution
Blue Sheer Babydoll with Satin Trim, Superwoman, Average Height, Lean, Square Face, Dark Skin, Auburn Hair, Brown Eyes with Green Flecks, Narrow Nose, Pouty Lips, Prominent Chin, Long Hair, Curly Hair, Braided Crown, small breasts, Stud earrings, black stain lipstick, Surrounded by Bubble solution
Lavender Lace Bra and Panty Set , Goddess, Average Height, Lean, Square Face, Tan Skin, Strawberry Blonde Hair, Brown Eyes with Green Flecks, Wide Nose, Full Lips, Prominent Chin, Long Hair, Fine Hair, Triple Braided Crown, natural breasts, Threader earrings, grape metallic lipstick, Engulfed in Bubble solution
Orange Satin Slip, Enigma, Tall, Firm, Oval Face, Fair Skin, Auburn Hair, amber Eyes, Straight Nose, Pouty Lips, Prominent Chin, Shoulder-Length Hair, Fine Hair, Dutch Braid, large breasts, Dangle earrings, magenta sheer lipstick, Soaking in Glycerin
Green Sequin Slip Dress with Thigh-High Slits, Queen, Short, Fit, Square Face, Tan Skin, Honey Blonde Hair, jade Eyes, Wide Nose, Thin Lips, Receding Chin, Long Hair, Coarse Hair, Donut Bun, perky breasts, Hoop earrings, beige metallic lipstick, Steeped in Melted chocolate
Green Sequin Slip Dress with Thigh-High Slits, Sensation, Average Height, Firm, Oval Face, Dark Skin, Red Hair, pink Eyes, Short Nose, Full Lips, Prominent Chin, Long Hair, Curly Hair, Loose Curls, full breasts, Clip-on earrings, brown cream lipstick, Coated in Liquid soap
Red Satin Babydoll, Enigma, Average Height, Firm, Square Face, Olive Skin, Light Brown Hair, silver Eyes, Short Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Coarse Hair, Herringbone Braid, round breasts, Huggie earrings, cherry stain lipstick, Surrounded by Melted chocolate
Purple Velvet Slip with Lace Trim, Visionary, Short, Toned, Heart-Shaped Face, Fair Skin, Brunette Hair, aquamarine Eyes, Wide Nose, Full Lips, Sharp Chin, Long Hair, Fine Hair, Double Braided Crown, firm breasts, silver metallic lipstick, Plunged in Ball pit filled with water beads
Green Sequin Slip Dress with Thigh-High Slits, Starlet, Short, Skinny, Square Face, Tan Skin, Strawberry Blonde Hair, Green Eyes, [[Curved Nose]], Full Lips, Sharp Chin, Shoulder-Length Hair, Fine Hair, Half Up Half Down, asymmetrical breasts, Clip-on earrings, lavender cream lipstick, Submerged in Ball pit filled with water beads
Red Satin Kimono with Lace Sleeve Detail, Heiress, Tall, in shape, Round Face, Fair Skin, Blonde Hair, hazel Eyes, Short Nose, Pouty Lips, Sharp Chin, Shoulder-Length Hair, Fine Hair, Stacked Bob, large breasts, Hoop earrings, rose satin lipstick, Saturated in Mud
Teal Velvet Chemise with Ruffles , Empress, Tall, Firm, Triangular Face, Olive Skin, Blonde Hair, purple Eyes, Straight Nose, Pouty Lips, Prominent Chin, Long Hair, Straight Hair, Herringbone Braid, large breasts, Hoop earrings, terracotta cream lipstick, Soaking in Gelatin
